"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"A portrait of an engaged couple.  They are sitting on a sofa together, looking away from the camera.  The woman's arm is draped over one of the man's legs."
"A portrait of bride and groom standing close together."
"A second portrait of an engaged couple.  The man's arm is draped around the woman's shoulders.  The woman has the back of her hand pressed to her face."
"John Henry McCray Papers, Box 8, Folder 60, Photographs, Weddings"
"Photograph of a bride."
"Photograph of a bride and groom."
"Photograph of a bride in front of a floral arrangement."
"Photograph of a bride and groom cutting the wedding cake."
"Photograph of the bride, groom, best man, and bride's maids."
"Photograph of a wedding party."
"John Henry McCray Papers, Box 8, Folder 61, Photographs, Weddings"
"A photograph of a woman in a swimsuit standing in front of a painted landscape background."
"A portrait of a woman wearing a scarf and decorative pin around her neck."
"A photograph of a woman wearing a uniform, possibly a police officer, crossing guard, or meter reader."
"A photograph of a woman standing behind a counter in a restaurant or bar.  Shelves with boxes and a partial refrigerator is seen behind the woman."
"A portrait of a woman. Her face is facing away from the camera and is wearing dangling sphere earrings."
"A portrait of a woman wearing glasses. She is facing the camera and smiling."
"A photograph of a woman in a dress and glasses leaning on the hood of a car and holding a smiling toddler.  There is a house in the background."
"A portrait of a woman wearing a blazer over a dress."
"A portrait of young woman. She is wearing shirt with a thick collar and two buttons. She is sitting by a lamp."
"A second portrait of a young woman. She is wearing shirt with a thick collar and two buttons. She is sitting by a lamp, but from another angle."
"A photograph of a woman standing outside by a shrub."
"A photograph of a woman smiling and sitting on a piano bench with one arm draped over a paino.  Decorations, including a vase with a plant, adorn the top of the piano."
"A duplicate portrait of a woman wearing glasses.  She is facing the camera and smiling."
"A second portrait of a woman.  In this image, she is not wearing glasses."
"A portrait of a woman wearing dark framed glasses, a dress, and large earrings.  She is sitting in a chair."
"A portrait of a woman.  She is wearing a jacket over a lace blouse. She is also wearing a broach and a cluster of pearls earrings."
"A portrait of a woman smiling and wearing a dress with a wide collar and disk-shaped earrings."
"A portrait of a woman sitting on a wicker bench, wearing a dress with ruffled sleeves and collar.  Plants can be seen in the background."
"A portrait of a woman.  She is wearing a floral blouse or dress."
"A portrait of a woman wearing a hat with bell on it and a tassle hanging to the side.  The hat says Cairo on it."
"A portrait of a woman wearing a collared shirt or dress and small hoop earrings.  She is facing the camera and slightly smiling."
"A photograph of a woman wearing a checkered dress, sandals, and a watch.  She is standing outside grasping a pole and holding a small purse on her forearm."
"A photograph of a woman smiling and wearing a light-colored buttoned coat."
"A photograph of a woman sitting at a counter at bar or dinner.  The woman is wearing dark framed glasses, a dress, a bracelet, a ring, and large pearl-cluster earrings.  Plants, shelves, and a clock are seen in the background."
"A photograph of woman standing by the porch stairs of a house.  She is facing away from the camera and is wearing a blouse, skirt, and heels."
"A portrait of a young girl wearing a dark dress and a pearl necklace."
"A photograph of a young woman standing outside in grass and in her graduation gown and cap.  She is holding a diploma."
"A portrait of an older woman. She is wearing a dress with a floral design and a gold necklace."
"A portrait of an older woman. She is wearing a dark dress, a floral broach, a watch, glasses, a pearl necklace, and pearl hoop earrings."
"A photograph of a woman sitting on the ground with an arm raised.  She is smiling and wearing a striped t-shirt and shorts."
"A photograph of a woman sitting in a metal chair wearing a dress and jacket.  This is same woman from Portrait of woman 4."
"A photograph of a woman in a sleeveless dress with a beaded necklace."
"A photograph of a woman standing by a car with one hand resting above the headlight.  She is wearing a dress and fur-trimmed coat."
"A photograph of a woman in a patterned suit and pearl necklace standing outside.  Shrubbery and the side of a building are seen in the background."
"A photograph of a woman wearing a light-colored dress and sitting on a sofa. This is the same woman from Portrait of a woman 4."
"A portrait of a smiling woman sitting in chair."
"A photograph of a young woman posing in a swimsuit and dress sandals.  She is holding a curtain."
"A duplicate photograph of a woman in a sleeveless dress with a beaded necklace."
"A photograph of a woman resting on a sofa looking down.  She has her legs curled up and is wearing a dark dress and a broach."
"A portrait of a woman wearing a dress with a belt.  She is sitting on a chair."
"A portrait of a young girl smiling wearing a light cardigan, patterned skirt, pearl necklace, and large earrings."
"A second portrait of a young girl wearing a cardigan. In this photograph she is wearing a dark dress and sitting out side."
"A portrait of a woman wearing a sweater and skirt."
"A photograph of a woman standing in front of textile that is hanging on the behind her. She is wearing a dark cardigan, knit blouse, and small hoop earrings."
"A portrait of a woman standing in front of a wooden building."
"A portrait of a woman sitting in chair and wearing a cheetah-patterned coat.  She is holding a magazine and looking at the camera.  An endtable with a lamp is seen to her left."
"A portrait of a woman wearing a lace blouse and large earrings posing for photograph."
"A portrait of woman wearing a dress and pearls."
"A portrait of a woman wearing a hat."
"A photograph of a woman sitting in carriage.  A man is seen slightly out of frame to the right."
"A portrait of a smiling woman sitting on a sofa.  She is wearing a cardigan over a dress and dark frame glasses."
"A second portrait of a woman wearing a dress and a pearl necklace."
"A portrait of a woman she is wearing a blouse with lacy flower decoration on the collar and large hoop earrings."
"A portrait of a woman standing at a podium with a large book resting upon it.  A microphone is in front of the podium.  The United States flag, a light, and a window can all be seen in the background."
"A portrait of a woman posing for a photograph.  She is wearing a metal choker necklace with matching earrings."
"A portrait of a woman wearing large earrings.  She is looking away from the camera."
"A portrait of a woman wearing a winter coat and standing on a sidwalk.  Other people and storefronts can be seen in the background.  There is a note written at bottom reading:  To Minnie, my friend - Love, Effie"
"A portrait of a young woman wearing a checkered dress and large hoop earrings.  She is looking into the camera and smiling."
"John Henry McCray Papers, Box 8, Folder 57, Photographs, Unidentified Women"
"A portrait of an unidentified woman.  She is wearing a lacy blouse and pearl earrings."
"A photograph of a unknown woman sitting at a piano and playing the keys."
"A portrait of an older unidentified woman. Note that the original photograph was out of focus and blurry. In this photograph, her face is turned away from the camera. She is wearing dark framed glasses."
"A portrait of an young unidentified woman. She is facing the camera and is wearing a coat and locket."
"A portrait of an unidentified woman wearing a black dress, glasses, and pearls."
"A portrait of an older unidentified woman. Note that the original photograph was out of focus and blurry."
"A portrait of a young woman wearing a formal dress and earrings."
"A portrait of a young woman holding a rosary standing by two lit candles and a book.  Her head is covered with a scarf."
"A portrait of an unknown woman. She is wearing a dress with a decorative broach. She is facing away from the camera. This is possibly Dr. Anne B. Weston."
"A portrait of a woman sitting at a desk looking at some papers. There is a typewriter besides her and a filing cabinet in the background."
"A portrait of a young woman.  She is facing the camera.  There is a note in the bottom right corner of the original photograph:  Love Bert. Love your baby, Bertha."
"A portrait of a woman sitting at a desk. She is holding a pen and papers are seen below here hands."
"A portrait of a woman standing by a desk. She is wearing a light-colored dress. Her hands are resting on some papers and there is a newspaper to her left."
"A portrait of a woman.  Her face is facing away from the camera.   She is smiling and wearing white disk-shaped earrings."
"A portrait of a woman sitting in a chair.  A curtained window is seen behind her."
"A portrait of a woman. Her face is facing away from the camera and she is wearing large circular earrings."
"A portrait of a young girl sitting on a living room floor. She is wearing a dress and is holding a doll. Chairs and a door can be seen in the background."
"A portrait of a woman wearing a suit jacket, necklace, and earrings."
"A portrait of a woman. She is wearing a ruffled shirt under a suit jacket."
"A second portrait of a young girl wearing a dress and holding a doll. In this portrait, she is sitting in a chair and is looking directly at the camera."
"A portrait of a woman wearing a dress with a flower corsage on her right shoulder."
"A portrait of a woman standing outside by some stairs. She is wearing a dress with a jacket and holding a pair of sunglasses."
"A portrait of a young girl in a dress holding a doll. She is sitting on a living room floor and her face is turned away from the camera."
"A portrait of a woman standing in a possible pharmacy. There are glass cases with bottles and boxes behind her.  She is smiling and wearing a dress, cardigan, and earrings."
"A portrait of woman standing.  Note that might be the same woman as seen in the Portrait of woman sitting at a desk."
"A portrait of woman in a dress with a leaf pin or broach. She is smiling and wearing ornate rectangular earrings."
"A portrait of a woman sitting on a sofa. A telephone is on the table next to the sofa."
"A portrait of woman wearing formal dress and a diamond or diamond-like necklace and earrings."
"A portrait of a woman wearing a pearl necklace and matching earrings."
"A portrait of a woman wearing a plaid dress.  She is facing away from the camera."
"A portrait of a young woman.  This is an image or copy of a photograph that was printed onto paper."
"A second portrait of woman wearing formal dress and a diamond or diamond-like necklace and earrings.  The lacey top of her dress is visible in this image."
"A portrait of woman sitting on sofa wearing a dress and a diamond or diamond-like necklace.  A ring can be seen on her left hand."
"A portrait of a woman sitting near curtains. She is wearing a dark dress with lace and a floral broach.  A bracelet is seen on her left wrist and a ring is on her left hand."
"A portrait of an older woman sitting in a chair.  She is wearing a dress that has a bow near the collar.  Her arms are crossed over her chest and her eyes are turned away from the camera."
"A portrait of a woman smiling."
"A portrait of a woman in a dark dress with a checkered design on the collar and waist. She head is facing the camera and her hands are clasped together.  She is wearing a diamond or diamond-like necklace and earrings."
"John Henry McCray Papers, Box 8, Folder 58, Photographs, Unidentified Women"
"A photograph of a man sitting at a desk with a microphone that says WESC.  He is wearing a hat and holding a piece of a paper."
